"","id","perm_closed","sntzrs","empl_trained","thrml_scrn","soc_dist","cshless","nobufft","c19mrktg","outsrc","othr","none","infrm","styhm","wrkr_socdist","shfts","telewrk","tempchecks","ppe","paid_sickleave","insurncs","wrker_other","worker_none","coordinates","lat","lng"
"1",3,FALSE,"1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0","0",NA,NA,NA
"2",4,FALSE,"1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0",NA,NA,NA
"3",5,FALSE,"1","0","1","1","0","1","0","0","0","0","1","1","1","1","0","1","1","0","1","0","0",NA,NA,NA
"4",6,FALSE,"1","1","1","1","0","1","0","0","0","0","1","1","1","1","0","1","1","1","1","0","0","27.578974 84.494066 0 0","27.578974","84.494066"
"5",7,FALSE,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",NA,NA,NA
"6",8,FALSE,"1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","27.711638 85.308387 0 0","27.711638","85.308387"
"7",9,FALSE,"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",NA,NA,NA
"8",10,FALSE,"1","1","1","1","1","1","0","0","0","0","1","1","1","1","0","1","1","0","1","0","0",NA,NA,NA
"9",11,FALSE,"0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","29.040688 -126.054109 0 0","29.040688","-126.054109"
"10",12,FALSE,"1","1","1","1","0","0","0","0","0","0","1","0","1","0","1","0","1","1","1","0","0",NA,NA,NA
"11",13,FALSE,"1","1","1","1","0","1","1","0","0","0","1","1","1","0","0","0","1","0","0","0","0",NA,NA,NA
"12",14,FALSE,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","28.209711 83.958002 0 0","28.209711","83.958002"
"13",15,FALSE,"0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",NA,NA,NA
