"","X_index","p_hlth_hhs_measures__1","p_hlth_hhs_measures__2","p_hlth_hhs_measures__3","p_hlth_hhs_measures__4","p_hlth_hhs_measures__5","p_hlth_hhs_measures__6","p_hlth_hhs_measures__7","p_hlth_hhs_measures__8","p_hlth_hhs_measures__9","p_hlth_hhs_measures__10","p_hlth_safety_measures__1","p_hlth_safety_measures__2","p_hlth_safety_measures__3","p_hlth_safety_measures__4","p_hlth_safety_measures__5","p_hlth_safety_measures__6","p_hlth_safety_measures__7","p_hlth_safety_measures__8","p_hlth_safety_measures__9","p_hlth_safety_measures__10","p_hlth_safety_measures__11","m_coodinates","lat","lng"
"1",1,"1","1","1","1","0","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.711873 85.312743 0 0","27.711873","85.312743"
"2",2,"1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0","0",NA,NA,NA
"4",4,"1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0",NA,NA,NA
"5",5,"1","0","1","1","0","1","0","0","0","0","1","1","1","1","0","1","1","0","1","0","0",NA,NA,NA
"6",6,"1","1","1","1","0","1","0","0","0","0","1","1","1","1","0","1","1","1","1","0","0","27.578974 84.494066 0 0","27.578974","84.494066"
"7",7,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",NA,NA,NA
"8",8,"1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","27.711638 85.308387 0 0","27.711638","85.308387"
"9",9,"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",NA,NA,NA
"10",10,"1","1","1","1","1","1","0","0","0","0","1","1","1","1","0","1","1","0","1","0","0",NA,NA,NA
"11",11,"0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","29.040688 -126.054109 0 0","29.040688","-126.054109"
"12",12,"1","1","1","1","0","0","0","0","0","0","1","0","1","0","1","0","1","1","1","0","0",NA,NA,NA
"13",13,"1","1","1","1","0","1","1","0","0","0","1","1","1","0","0","0","1","0","0","0","0",NA,NA,NA
"14",14,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","28.209711 83.958002 0 0","28.209711","83.958002"
"15",15,"0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",NA,NA,NA
"16",16,"1","1","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.717856 85.311887 0 0","27.717856","85.311887"
"17",17,"1","1","0","1","1","0","0","0","0","0","1","1","1","0","0","0","1","1","1","0","0","28.19871 83.976131 0 0","28.19871","83.976131"
"18",18,"1","1","1","1","0","0","1","0","0","0","1","1","1","0","0","1","1","0","0","0","0","27.71339 85.312352 0 0","27.71339","85.312352"
"19",19,"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","27.688587 84.965711 0 0","27.688587","84.965711"
"20",20,"1","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"1","1","0","1","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0",NA,NA,NA
"22",22,"1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",NA,NA,NA
"23",23,"1","0","1","1","0","0","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0",NA,NA,NA
"24",24,"0","0","0","1","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","27.71423 85.311593 0 0","27.71423","85.311593"
"25",25,"1","1","0","1","1","0","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0",NA,NA,NA
"26",26,"1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","0","28.207931 84.036484 0 0","28.207931","84.036484"
"27",27,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","27.721681 85.322634 1308.1780700683594 65","27.721681","85.322634"
"28",28,"0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"29",29,"1","1","1","1","1","0","1","0","0","0","1","1","1","1","0","1","1","0","0","0","0",NA,NA,NA
"30",30,"1","1","1","1","1","0","1","1","0","0","1","1","1","1","1","1","1","0","1","0","0","27.717179 85.332828 0 0","27.717179","85.332828"
"31",31,"0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"32",32,"0","0","0","0","0","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.706141 85.313299 0 0","27.706141","85.313299"
"33",33,"1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"1","1","1","1","1","0","1","1","0","0","1","1","1","1","0","1","1","1","0","0","0","-17.00607 99.401123 0 0","-17.00607","99.401123"
"35",35,"1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","0",NA,NA,NA
"36",36,"0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"37",37,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",NA,NA,NA
"38",38,"1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0",NA,NA,NA
"39",39,"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","0","0","0","27.713253 85.312681 1258.4000244140625 11.133999824523926","27.713253","85.312681"
"40",40,"1","1","0","1","1","0","1","0","0","0","1","1","1","1","0","1","0","0","0","0","0","27.715806 85.309964 0 0","27.715806","85.309964"
"41",41,"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","27.714579 85.312474 0 0","27.714579","85.312474"
"42",42,"0","0","1","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"1","1","0","1","1","1","1","0","0","0","1","1","0","1","0","1","1","1","0","0","0","27.716936 85.311456 0 0","27.716936","85.311456"
"44",44,"0","0","0","0","0","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"46",46,"1","0","1","1","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0",NA,NA,NA
"47",47,"1","1","1","1","1","0","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.706472 80.577207 0 0","28.706472","80.577207"
"48",48,"1","0","0","0","1","0","1","0","0","0","1","1","1","0","0","1","1","0","0","0","0","27.716142 85.311016 0 0","27.716142","85.311016"
"49",49,"1","1","0","1","0","0","0","0","0","0","1","1","1","1","0","0","1","0","0","0","0","28.21487 83.961961 0 0","28.21487","83.961961"
"50",50,"1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0",NA,NA,NA
"51",51,"1","0","0","1","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0",NA,NA,NA
"52",52,"1","1","0","1","1","0","0","0","0","0","1","1","1","1","0","1","1","1","0","0","0","27.715744 85.309307 0 0","27.715744","85.309307"
"53",53,"1","1","1","1","1","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.690194 85.238588 1324 9","27.690194","85.238588"
"54",54,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",NA,NA,NA
"55",55,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1",NA,NA,NA
"56",56,"0","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","1","1","0","0","27.732756 85.339214 1284.8296479075966 12.515999794006348","27.732756","85.339214"
"57",57,"1","1","1","1","1","1","0","0","0","0","1","1","1","1","0","1","1","1","1","0","0",NA,NA,NA
"58",58,"1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0","0","27.717184 85.313824 0 0","27.717184","85.313824"
"59",59,"1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0","0","27.717184 85.313824 0 0","27.717184","85.313824"
"60",60,"1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","0","0","0","0","27.712753 85.316219 0 0","27.712753","85.316219"
"61",61,"1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",NA,NA,NA
"62",62,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","27.689418 85.243263 0 0","27.689418","85.243263"
"63",63,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA
"64",64,"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","27.72309 85.333852 1304.271369934082 65","27.72309","85.333852"
"65",65,"1","1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","27.719115 85.332184 0 0","27.719115","85.332184"
"66",66,"1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","27.713785 85.312396 0 0","27.713785","85.312396"
"67",67,"1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","27.684759 85.312688 0 0","27.684759","85.312688"
"68",68,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",NA,NA,NA
"69",69,"0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0",NA,NA,NA
"70",70,"1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","0",NA,NA,NA
"71",71,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",NA,NA,NA
"72",72,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA
"73",73,"1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA
"74",74,"1","0","1","1","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0",NA,NA,NA
"75",75,"1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,"1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","27.690247 85.317249 0 0","27.690247","85.317249"
"77",77,"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0",NA,NA,NA
"78",78,"0","0","0","0","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,"1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","27.729241 85.38627 1314.2932167053223 65","27.729241","85.38627"
"81",81,"0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0",NA,NA,NA
"82",82,"0","1","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0",NA,NA,NA
"83",83,"0","0","0","0","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,"0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","27.716549 85.309941 1307.1645393371582 65","27.716549","85.309941"
"85",85,"1","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","27.693104 85.287242 1308.8137969970703 30","27.693104","85.287242"
"86",86,"1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",NA,NA,NA
"87",87,"1","0","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","27.725388 85.311287 1275.668564347818 14.361000061035156","27.725388","85.311287"
"88",88,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","27.7031 85.308409 0 0","27.7031","85.308409"
"89",89,"1","1","1","1","0","0","1","0","0","0","1","1","1","0","0","1","1","0","0","0","0",NA,NA,NA
"90",90,"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","27.715948 85.309984 0 0","27.715948","85.309984"
"91",91,"1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","0",NA,NA,NA
"92",92,"0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA
"93",93,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"94",94,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",NA,NA,NA
"95",95,"0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","27.702215 85.323343 0 0","27.702215","85.323343"
"96",96,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"97",97,"0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","27.714645 85.314385 0 0","27.714645","85.314385"
"98",98,"0","1","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,"1","1","1","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.707899 85.318146 0 0","27.707899","85.318146"
"100",100,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1",NA,NA,NA
"101",101,"1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.711523 85.312164 0 0","27.711523","85.312164"
"102",102,"1","1","0","0","1","1","1","0","0","0","1","1","0","1","0","1","0","0","0","0","0","28.223448 83.988805 0 0","28.223448","83.988805"
"103",103,"1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,"1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","27.713319 85.3127 0 0","27.713319","85.3127"
"105",105,"0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","1","1","0","0","27.711537 85.309012 0 0","27.711537","85.309012"
"106",106,"0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0",NA,NA,NA
