"","id","perm_closed","pay_loans","get_funds","pay_taxes","op_cost","labor","get_custs","none","type","coordinates","X_m_coodinates_latitude","X_m_coodinates_longitude","name","sub_grp","lat","lng"
"1",36,FALSE,"1","1","1","1","1","1","0","2","27.7153038584918 85.3103238891712",27.7153038584918,85.3103238891712,"Shisha Lounge & Bar Pvt Ltd",1,27.7153038584918,85.3103238891712
"2",109,FALSE,"1","0","0","0","0","0","0","2","26.98806 85.89996",26.98806,85.89996,"Hotel Vinayak pvt ltd",2,26.98806,85.89996
"3",8,FALSE,"0","0","0","0","0","1","0","1","27.58148 84.49332",27.58148,84.49332,"chitwan forest resort",3,27.58148,84.49332
"4",69,FALSE,"1","0","0","1","0","1","0","1","27.684759 85.312688",27.684759,85.312688,"Suburb cafe",4,27.684759,85.312688
"5",110,FALSE,"1","1","1","1","0","1","0","1","27.684944 85.315922",27.684944,85.315922,"hostel nextdoor",1,27.684944,85.315922
"6",21,FALSE,"0","0","0","1","0","1","0","3","27.71305 85.31126",27.71305,85.31126,"Orbit Nepal Adventure",3,27.71305,85.31126
"7",64,FALSE,"0","0","0","1","0","1","0","6","27.69443 85.24896",27.69443,85.24896,"Everest Tour Nepal Treks & Expedition Pvt. Ltd.",3,27.69443,85.24896
"8",78,FALSE,"1","1","1","1","1","1","0","4","27.71297 85.31228",27.71297,85.31228,"Mandala Handicrafts",1,27.71297,85.31228
"9",87,FALSE,"1","0","1","0","0","1","0","4","27.71442 85.31192",27.71442,85.31192,"Handicrafts (felt,woolen. Curio",5,27.71442,85.31192
"10",97,FALSE,"1","0","0","0","0","0","0","3","27.71223 85.31062",27.71223,85.31062,"Alliance Treks & Expedition Pvt. Ltd.",2,27.71223,85.31062
"11",90,FALSE,"0","0","1","1","1","1","0","8","27.71409 85.31012",27.71409,85.31012,"Earth angle trading pvt ltd",6,27.71409,85.31012
"12",112,FALSE,"1","0","1","1","1","1","0","3","27.71061 85.31213",27.71061,85.31213,"ROSHA TRAVELS AND TOURS P. LTD",1,27.71061,85.31213
"13",107,FALSE,"1","1","1","1","1","0","0","5","27.7115056 85.3089164",27.7115056,85.3089164,"Rainbow Adventure Nepal",1,27.7115056,85.3089164
"14",10,FALSE,"1","0","1","1","0","0","0","1","27.71217 85.30787",27.71217,85.30787,"Hotel",5,27.71217,85.30787
"15",62,FALSE,"1","1","1","1","0","1","0","9","27.7151 85.312",27.7151,85.312,"Namaste Spa Pvt.Ltd",1,27.7151,85.312
"16",41,FALSE,"1","0","1","0","0","1","0","8","27.71316 85.31265",27.71316,85.31265,"B s handicrafts",5,27.71316,85.31265
"17",106,FALSE,"1","0","0","0","0","0","0","8","27.71736 85.31034",27.71736,85.31034,"Natural nepal export",2,27.71736,85.31034
"18",20,FALSE,"0","0","0","1","0","1","0","1","27.7133876 85.31238",27.7133876,85.31238,"Yakety Yak Hostel",3,27.7133876,85.31238
"19",68,FALSE,"0","0","0","1","0","1","0","4","27.7137093 85.3123409",27.7137093,85.3123409,"R.R.Jewellery",3,27.7137093,85.3123409
"20",26,FALSE,"1","0","1","1","0","1","0","3","27.71423 85.31159",27.71423,85.31159,"Avia tours and travels PVT LTD",5,27.71423,85.31159
"21",43,FALSE,"1","1","1","0","0","0","0","6","27.71689 85.30937",27.71689,85.30937,"Hiking nepal pvt ltd",1,27.71689,85.30937
"22",99,FALSE,"0","0","1","1","0","1","0","6","27.71459 85.31326",27.71459,85.31326,"Garden of Hope Treks & Expeditions",5,27.71459,85.31326
"23",54,FALSE,"0","0","1","1","1","1","0","1","27.71587 85.30982",27.71587,85.30982,"Hotel Down Town Pvt. Ltd",6,27.71587,85.30982
"24",42,FALSE,"1","0","1","1","1","1","0","4","27.71575 85.30998",27.71575,85.30998,"Hemp House Nepal Pvt.Ltd",1,27.71575,85.30998
"25",92,FALSE,"0","1","0","0","0","0","0","8","27.71587 85.30991",27.71587,85.30991,"Hemp heafquarter",7,27.71587,85.30991
"26",50,FALSE,"1","1","1","1","0","1","0","9","27.7161657 85.3108951",27.7161657,85.3108951,"Kathmandu Spa",1,27.7161657,85.3108951
"27",86,FALSE,"0","1","0","0","0","0","0","2","27.71665 85.3099",27.71665,85.3099,"Restutant",7,27.71665,85.3099
"28",45,FALSE,"1","1","1","1","1","1","0","1","27.7167297 85.3120921",27.7167297,85.3120921,"Hotel Luna Kathmandu",1,27.7167297,85.3120921
"29",32,FALSE,"1","0","1","1","0","0","0","6","27.71702 85.33378",27.71702,85.33378,"Wongchhu Peak Promotion Pvt. Ltd.",5,27.71702,85.33378
"30",60,FALSE,"1","0","1","1","0","1","0","9","27.71578 85.30944",27.71578,85.30944,"Om Shanti Spa",5,27.71578,85.30944
"31",61,FALSE,"1","0","1","1","0","1","0","9","27.71578 85.30945",27.71578,85.30945,"Om Shanti Spa",5,27.71578,85.30945
"32",67,FALSE,"1","1","1","1","0","1","0","2","27.719115 85.332184",27.719115,85.332184,"Cuisine Court",1,27.719115,85.332184
"33",29,FALSE,"0","1","1","1","0","0","0","6","27.7174198 85.3260471",27.7174198,85.3260471,"Swotah Travel and Adventure Pvt. Ltd.",1,27.7174198,85.3260471
"34",66,FALSE,"0","0","0","1","1","1","0","3","27.7175 85.32594",27.7175,85.32594,"Art Summit Holiday Pvt Ltd",6,27.7175,85.32594
"35",89,FALSE,"0","0","1","0","0","0","0","3","27.71321 85.31137",27.71321,85.31137,"Asian adventure treks and expedition",6,27.71321,85.31137
"36",82,FALSE,"0","0","1","1","0","1","0","3","27.7043 85.33088",27.7043,85.33088,"Sun N Fun Holidays",5,27.7043,85.33088
"37",58,FALSE,"1","0","0","1","1","1","0","9","27.67812 85.30827",27.67812,85.30827,"Spa kinjjala pvt ltd.",1,27.67812,85.30827
"38",19,FALSE,"1","1","0","1","1","1","0","3","28.19899 83.97616",28.19899,83.97616,"Subhakamana Travels and Tours",1,28.19899,83.97616
"39",28,FALSE,"0","0","0","0","1","0","0","1","28.21064 84.04247",28.21064,84.04247,"Tiger Mountain",6,28.21064,84.04247
"40",16,FALSE,"1","1","0","1","0","1","0","1","28.2097 83.95798",28.2097,83.95798,"Hotel Tulsi Pokhara",4,28.2097,83.95798
"41",51,FALSE,"0","0","0","1","0","1","0","1","28.2148186 83.9618638",28.2148186,83.9618638,"HOTEL BLUE MAGNET & MULTIPURPUSE PVT.LTD.",3,28.2148186,83.9618638
"42",104,FALSE,"1","0","1","1","0","0","0","2","28.22345 83.9888",28.22345,83.9888,"Grill n’ Chill Restro and Bar",5,28.22345,83.9888
"43",13,FALSE,"1","0","0","1","0","0","0","1","28.2048324 83.9986713",28.2048324,83.9986713,"Hotel Task International Pvt. Ltd.",4,28.2048324,83.9986713
"44",1,FALSE,"1","0","1","0","0","1","0","6","27.6891069867822 85.2478348127655",27.6891069867822,85.2478348127655,"Stunning Adventure",5,27.6891069867822,85.2478348127655
"45",5,FALSE,"1","1","1","1","1","1","0","1","27.68413 85.31941",27.68413,85.31941,"HOTEL HIMALAYA PVT. LTD",1,27.68413,85.31941
"46",6,FALSE,"1","0","1","0","1","0","0","1","27.7165403 85.3129886",27.7165403,85.3129886,"Nepali Ghar Hotel Pvt Ltd",6,27.7165403,85.3129886
"47",7,FALSE,"1","1","1","1","1","1","0","1","27.7177391 85.3101198",27.7177391,85.3101198,"HOTEL",1,27.7177391,85.3101198
"48",9,FALSE,"0","1","0","0","0","0","0","8","27.7152382 85.3115879",27.7152382,85.3115879,"Alpine trekking gears pvt.ltd",7,27.7152382,85.3115879
"49",11,FALSE,"1","0","0","0","0","1","0","8","27.7156778 85.3113177",27.7156778,85.3113177,"Everest outdoor gears pvt ltd",5,27.7156778,85.3113177
"50",12,FALSE,"1","1","0","1","0","0","0","1","28.2077552 83.9684899",28.2077552,83.9684899,"Hotel Lakeside Pvt. Ltd",4,28.2077552,83.9684899
"52",15,FALSE,"1","1","1","1","0","1","0","1","27.5845046127971 84.4711607974195",27.5845046127971,84.4711607974195,"Green Mansions Jungle Resort",1,27.5845046127971,84.4711607974195
"53",17,FALSE,"0","0","0","1","1","1","0","4","28.2044184 83.9644088",28.2044184,83.9644088,"The  cashmere store",6,28.2044184,83.9644088
"54",23,FALSE,"1","1","1","1","0","0","0","1","27.717619 85.3115799",27.717619,85.3115799,"Pilgrims Guest House P.Ltd",1,27.717619,85.3115799
