"x_variable","x_value","y_variable","y_value","total","perc"
"gender_category","1","o_impct_to_self_nxt_6_mnths","1",30,0.297029702970297
"gender_category","2","o_impct_to_self_nxt_6_mnths","1",1,0.0099009900990099
"gender_category","1","o_impct_to_self_nxt_6_mnths","2",69,0.683168316831683
"gender_category","2","o_impct_to_self_nxt_6_mnths","2",8,0.0792079207920792
"gender_category","1","o_impct_to_self_nxt_6_mnths","3",52,0.514851485148515
"gender_category","2","o_impct_to_self_nxt_6_mnths","3",9,0.0891089108910891
"gender_category","1","o_impct_to_self_nxt_6_mnths","4",43,0.425742574257426
"gender_category","2","o_impct_to_self_nxt_6_mnths","4",8,0.0792079207920792
"gender_category","1","o_impct_to_self_nxt_6_mnths","5",61,0.603960396039604
"gender_category","2","o_impct_to_self_nxt_6_mnths","5",7,0.0693069306930693
"gender_category","1","o_impct_to_self_nxt_6_mnths","6",52,0.514851485148515
"gender_category","2","o_impct_to_self_nxt_6_mnths","6",6,0.0594059405940594
"gender_category","1","o_impct_to_self_nxt_6_mnths","7",65,0.643564356435644
"gender_category","2","o_impct_to_self_nxt_6_mnths","7",8,0.0792079207920792
"gender_category","1","o_impct_to_self_nxt_6_mnths","8",1,0.0099009900990099
"gender_category","2","o_impct_to_self_nxt_6_mnths","8",0,0
"gender_category","1","o_impct_to_self_nxt_6_mnths","9",1,0.0099009900990099
"gender_category","2","o_impct_to_self_nxt_6_mnths","9",0,0
"gender_category","1","o_impct_to_self_nxt_6_mnths","Other",1,0.0099009900990099
"gender_category","2","o_impct_to_self_nxt_6_mnths","Other",0,0
"age_category","1","o_impct_to_self_nxt_6_mnths","1",2,0.0198019801980198
"age_category","2","o_impct_to_self_nxt_6_mnths","1",25,0.247524752475248
"age_category","3","o_impct_to_self_nxt_6_mnths","1",4,0.0396039603960396
"age_category","1","o_impct_to_self_nxt_6_mnths","2",0,0
"age_category","2","o_impct_to_self_nxt_6_mnths","2",65,0.643564356435644
"age_category","3","o_impct_to_self_nxt_6_mnths","2",12,0.118811881188119
"age_category","1","o_impct_to_self_nxt_6_mnths","3",0,0
"age_category","2","o_impct_to_self_nxt_6_mnths","3",49,0.485148514851485
"age_category","3","o_impct_to_self_nxt_6_mnths","3",12,0.118811881188119
"age_category","1","o_impct_to_self_nxt_6_mnths","4",0,0
"age_category","2","o_impct_to_self_nxt_6_mnths","4",40,0.396039603960396
"age_category","3","o_impct_to_self_nxt_6_mnths","4",11,0.108910891089109
"age_category","1","o_impct_to_self_nxt_6_mnths","5",1,0.0099009900990099
