"variable","value","total","perc_of_total","choice_code","label_en","label_ne","name_in_xlsforrm"
"b_empl_frml_agrmnt_status_pre_covid","1",20,"0.1960784",1,NA,"छ/थियो","b_empl_frml_agrmnt_status_pre_covid"
"b_empl_frml_agrmnt_status_pre_covid","2",82,"0.8039216",2,NA,"छैन/थिएन","b_empl_frml_agrmnt_status_pre_covid"
"b_empl_had_pan_pre_covid","1",83,"0.8137255",3,NA,"थियो","b_empl_had_pan_pre_covid"
"b_empl_had_pan_pre_covid","2",19,"0.1862745",4,NA,"थिएन","b_empl_had_pan_pre_covid"
"b_empl_wrk_sesonal_period","1",10,"0.1123596",5,NA,"१-३ महिना",NA
"b_empl_wrk_sesonal_period","2",71,"0.7977528",6,NA,"४-६ महिना",NA
"b_empl_wrk_sesonal_period","3",8,"0.0898876",7,NA,"७-९ महिना",NA
"i_econ_incm_chng_self","1",88,"0.8627451",9,NA,"कुल आय लगभग शुन्य (न्यून) भयो",NA
"i_econ_incm_chng_self","2",2,"0.0196078",10,NA,"कुल आय एक-चौथाई (२५%)ले घट्यो",NA
"i_econ_incm_chng_self","3",5,"0.0490196",11,NA,"कुल आय आधि (५०%)ले घट्यो",NA
"i_econ_incm_chng_self","4",6,"0.0588235",12,NA,"कुल आय तीन-चौथाई (७५%)ले घट्यो",NA
"i_econ_incm_chng_self","5",1,"0.0098039",13,NA,"कुल आय लगभग उस्तै रह्यो",NA
"i_empl_emplyr_in_tourism_change_post_covid","1",5,"0.3333333",15,NA,"पर्यो",NA
"i_empl_emplyr_in_tourism_change_post_covid","2",10,"0.6666667",16,NA,"परेन",NA
"i_empl_emplyr_in_tourism_change_post_covid_add","1",5,"0.8333333",17,NA,"पर्यो",NA
"i_empl_emplyr_in_tourism_change_post_covid_add","2",1,"0.1666667",18,NA,"परेन",NA
"i_empl_emplyr_in_tourism_prsnt_frml_agrmnt_status_add","2",6,"1",20,NA,"छैन",NA
"i_empl_in_tourism_paid_tax_post_covid_add","1",3,"0.5",21,NA,"पर्छ",NA
"i_empl_in_tourism_paid_tax_post_covid_add","2",3,"0.5",22,NA,"पर्दैन",NA
"i_empl_jb_prsnt_status","1",15,"0.1470588",23,NA,"छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु",NA
"i_empl_jb_prsnt_status","2",6,"0.0588235",24,NA,"छु, तर म पर्यटन लगायत अन्य क्षेत्रमा पनि काम गर्दै छु 
(हाल पर्यटन क्षेत्रको काम कुर्दै गरेका तर अन्य क्षेत्रको काम गर्दै गरेकालाई पनि)",NA
"i_empl_jb_prsnt_status","3",80,"0.7843137",25,NA,"अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)",NA
"i_empl_jb_prsnt_status","4",1,"0.0098039",26,NA,"छैन, मैले पर्यटन क्षेत्र छाडिसकेको छु",NA
"i_empl_lst_date_full_salary","1",84,"0.8235294",27,NA,"कोभिड-१९ लकडाउन भन्दा पहिले (चैत्र २०७६ भन्दा पहिले) (Before March 2020)",NA
"i_empl_lst_date_full_salary","2",6,"0.0588235",28,NA,"बैशाख देखि असोज २०७७ को बीचमा (Between March and September 2020)",NA
"i_empl_lst_date_full_salary","3",3,"0.0294118",29,NA,"कार्तिक देखि पौष २०७७ को बीचमा (Between October and December 2020)",NA
