"variable","value","total","perc_of_total","label_ne","label_en"
"b_empl_frml_agrmnt_status_pre_covid","1",53,"0.2789474","छ/थियो","Yes"
"b_empl_frml_agrmnt_status_pre_covid","2",137,"0.7210526","छैन/थिएन","No"
"b_empl_had_pan_pre_covid","1",144,"0.7578947","थियो","Yes"
"b_empl_had_pan_pre_covid","2",46,"0.2421053","थिएन","No"
"b_empl_wrk_sesonal_period","1",16,"0.128","१-३ महिना","1 to 3 months"
"b_empl_wrk_sesonal_period","2",91,"0.728","४-६ महिना","4 to 6 months"
"b_empl_wrk_sesonal_period","3",16,"0.128","७-९ महिना","7 to 9 months"
"b_empl_wrk_sesonal_period","4",2,"0.016","१०-११ महिना","10 to 11 months"
"i_econ_incm_chng_self","1",152,"0.8","कुल आय लगभग शुन्य (न्यून) भयो","Income was almost zero"
"i_econ_incm_chng_self","2",4,"0.0210526","कुल आय एक-चौथाई (२५%)ले घट्यो","25% of last year"
"i_econ_incm_chng_self","3",14,"0.0736842","कुल आय आधि (५०%)ले घट्यो","50% of last year"
"i_econ_incm_chng_self","4",17,"0.0894737","कुल आय तीन-चौथाई (७५%)ले घट्यो","75% of last year"
"i_econ_incm_chng_self","5",2,"0.0105263","कुल आय लगभग उस्तै रह्यो","Same as last year"
"i_econ_incm_chng_self","6",1,"0.0052632","कुल आय बढ्यो","Income grew"
"i_empl_emplyr_in_tourism_change_post_covid","1",9,"0.2368421","पर्यो","Yes"
"i_empl_emplyr_in_tourism_change_post_covid","2",29,"0.7631579","परेन","No"
"i_empl_emplyr_in_tourism_change_post_covid_add","1",9,"0.6428571","पर्यो","Yes"
"i_empl_emplyr_in_tourism_change_post_covid_add","2",5,"0.3571429","परेन","No"
"i_empl_emplyr_in_tourism_prsnt_frml_agrmnt_status_add","1",4,"0.2857143","छ","Yes"
"i_empl_emplyr_in_tourism_prsnt_frml_agrmnt_status_add","2",10,"0.7142857","छैन","No"
"i_empl_in_tourism_paid_tax_post_covid_add","1",9,"0.6428571","पर्छ","Yes"
"i_empl_in_tourism_paid_tax_post_covid_add","2",5,"0.3571429","पर्दैन","No"
"i_empl_jb_prsnt_status","1",38,"0.2","छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु","Yes, fully engaged"
"i_empl_jb_prsnt_status","2",14,"0.0736842","छु, तर म पर्यटन लगायत अन्य क्षेत्रमा पनि काम गर्दै छु 
(हाल पर्यटन क्षेत्रको काम कुर्दै गरेका तर अन्य क्षेत्रको काम गर्दै गरेकालाई पनि)","Yes, partially engaged"
"i_empl_jb_prsnt_status","3",136,"0.7157895","अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)","No, currently unemployed but looking for work"
"i_empl_jb_prsnt_status","4",2,"0.0105263","छैन, मैले पर्यटन क्षेत्र छाडिसकेको छु","No, completely left"
"i_empl_lst_date_full_salary","1",151,"0.7947368","कोभिड-१९ लकडाउन भन्दा पहिले (चैत्र २०७६ भन्दा पहिले) (Before March 2020)","Before March 2020"
"i_empl_lst_date_full_salary","2",14,"0.0736842","बैशाख देखि असोज २०७७ को बीचमा (Between March and September 2020)","Between March and September 2020"
"i_empl_lst_date_full_salary","3",7,"0.0368421","कार्तिक देखि पौष २०७७ को बीचमा (Between October and December 2020)","Between October and December 2020"
"i_empl_lst_date_full_salary","4",16,"0.0842105","माघ २०७७ पछि (After December 2021)","After December 2021"
"i_empl_lst_date_full_salary","5",2,"0.0105263","मेरो पूर्ण तलब (आम्दानी)मा कोभिड-१९ले कुनै असर नगरेको","No change due to Covid 19"
"i_hlth_covid_infectn_family","1",16,"0.0842105","छ/थियो","Yes"
"i_hlth_covid_infectn_family","2",174,"0.9157895","छैन/थिएन","No"
"i_hlth_covid_infectn_self","1",11,"0.0578947","छ/थियो","Yes"
"i_hlth_covid_infectn_self","2",179,"0.9421053","छैन/थिएन","No"
"i_hlth_covid_infectn_self_time","1",1,"0.0909091","बैशाख देखि असोज २०७७ को बीचमा (Between March and September 2020)","Between March and September 2020"
"i_hlth_covid_infectn_self_time","2",8,"0.7272727","कार्तिक देखि पौष २०७७ को बीचमा (Between October and December 2020)","Between October and December 2020"
"i_hlth_covid_infectn_self_time","3",2,"0.1818182","माघ २०७७ पछि (After December 2021)","After December 2021"
"i_lvlhd_domicile_chng_self","1",47,"0.2473684","पर्यो, तर म फेरि त्यहि ठाउँमा आई सकेको छु","Yes, but I've moved back since"
"i_lvlhd_domicile_chng_self","2",45,"0.2368421","पर्यो, म त्यहि गाउँ/सहरको अर्को ठाउँमा सरेको छु","Yes, switched to a different neighbourhood"
"i_lvlhd_domicile_chng_self","3",12,"0.0631579","पर्यो, म अर्कै गाउँ/सहरमा सरेको छु","Yes, swiched to a new village/city"
"i_lvlhd_domicile_chng_self","4",86,"0.4526316","परेन","No"
"i_lvlhd_domicile_chng_self_temp_tm_prd","1",5,"0.106383","१ महिना भन्दा कम","Less than a month"
"i_lvlhd_domicile_chng_self_temp_tm_prd","2",13,"0.2765957","२-६ महिना सम्म","2 to 6 months"
"i_lvlhd_domicile_chng_self_temp_tm_prd","3",29,"0.6170213","६ महिना भन्दा बढी","More than 6 months"
"i_mental_hlth_blame","1",114,"0.6","छैन","No"
"i_mental_hlth_blame","2",76,"0.4","छ","Yes"
"i_mental_hlth_detached","1",64,"0.3368421","छैन","No"
"i_mental_hlth_detached","2",126,"0.6631579","छ","Yes"
"i_mental_hlth_fml","1",97,"0.5105263","छैन","No"
"i_mental_hlth_fml","2",93,"0.4894737","छ","Yes"
"i_mental_hlth_neg_think","1",87,"0.4578947","छैन","No"
"i_mental_hlth_neg_think","2",103,"0.5421053","छ","Yes"
