"variable","value","total","perc_of_total","choice_code","label_ne","label_en","variable_group"
"b_empl_frml_agrmnt_status_pre_covid","1",53,"0.2789474",1,"छ/थियो","Yes","Impact"
"b_empl_frml_agrmnt_status_pre_covid","2",137,"0.7210526",2,"छैन/थिएन","No","Impact"
"b_empl_had_pan_pre_covid","1",144,"0.7578947",3,"थियो","Yes","Impact"
"b_empl_had_pan_pre_covid","2",46,"0.2421053",4,"थिएन","No","Impact"
"b_empl_wrk_sesonal_period","1",16,"0.128",5,"१-३ महिना","1 to 3 months","Impact"
"b_empl_wrk_sesonal_period","2",91,"0.728",6,"४-६ महिना","4 to 6 months","Impact"
"b_empl_wrk_sesonal_period","3",16,"0.128",7,"७-९ महिना","7 to 9 months","Impact"
"b_empl_wrk_sesonal_period","4",2,"0.016",8,"१०-११ महिना","10 to 11 months","Impact"
"i_econ_incm_chng_self","1",152,"0.8",9,"कुल आय लगभग शुन्य (न्यून) भयो","Income was almost zero","Impact"
"i_econ_incm_chng_self","2",4,"0.0210526",10,"कुल आय एक-चौथाई (२५%)ले घट्यो","25% of last year","Impact"
"i_econ_incm_chng_self","3",14,"0.0736842",11,"कुल आय आधि (५०%)ले घट्यो","50% of last year","Impact"
"i_econ_incm_chng_self","4",17,"0.0894737",12,"कुल आय तीन-चौथाई (७५%)ले घट्यो","75% of last year","Impact"
"i_econ_incm_chng_self","5",2,"0.0105263",13,"कुल आय लगभग उस्तै रह्यो","Same as last year","Impact"
"i_econ_incm_chng_self","6",1,"0.0052632",14,"कुल आय बढ्यो","Income grew","Impact"
"i_empl_emplyr_in_tourism_change_post_covid","1",9,"0.2368421",15,"पर्यो","Yes","Impact"
"i_empl_emplyr_in_tourism_change_post_covid","2",29,"0.7631579",16,"परेन","No","Impact"
"i_empl_emplyr_in_tourism_change_post_covid_add","1",9,"0.6428571",17,"पर्यो","Yes","Impact"
"i_empl_emplyr_in_tourism_change_post_covid_add","2",5,"0.3571429",18,"परेन","No","Impact"
"i_empl_emplyr_in_tourism_prsnt_frml_agrmnt_status_add","1",4,"0.2857143",19,"छ","Yes","Impact"
"i_empl_emplyr_in_tourism_prsnt_frml_agrmnt_status_add","2",10,"0.7142857",20,"छैन","No","Impact"
"i_empl_in_tourism_paid_tax_post_covid_add","1",9,"0.6428571",21,"पर्छ","Yes","Impact"
"i_empl_in_tourism_paid_tax_post_covid_add","2",5,"0.3571429",22,"पर्दैन","No","Impact"
"i_empl_jb_prsnt_status","1",38,"0.2",23,"छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु","Yes, fully engaged","Impact"
"i_empl_jb_prsnt_status","2",14,"0.0736842",24,"छु, तर म पर्यटन लगायत अन्य क्षेत्रमा पनि काम गर्दै छु 
(हाल पर्यटन क्षेत्रको काम कुर्दै गरेका तर अन्य क्षेत्रको काम गर्दै गरेकालाई पनि)","Yes, partially engaged","Impact"
