"variable","value","total","perc_of_total","label_ne","label_en","choice_code","variable_group"
"b_empl_frml_agrmnt_status_pre_covid","1",53,"0.2760417","छ/थियो","Yes",1,"Impact"
"b_empl_frml_agrmnt_status_pre_covid","2",139,"0.7239583","छैन/थिएन","No",2,"Impact"
"b_empl_had_pan_pre_covid","1",145,"0.7552083","थियो","Yes",3,"Impact"
"b_empl_had_pan_pre_covid","2",47,"0.2447917","थिएन","No",4,"Impact"
"b_empl_wrk_sesonal_period","1",16,"0.1259843","१-३ महिना","1 to 3 months",5,"Impact"
"b_empl_wrk_sesonal_period","2",92,"0.7244094","४-६ महिना","4 to 6 months",6,"Impact"
"b_empl_wrk_sesonal_period","3",17,"0.1338583","७-९ महिना","7 to 9 months",7,"Impact"
"b_empl_wrk_sesonal_period","4",2,"0.015748","१०-११ महिना","10 to 11 months",8,"Impact"
"i_econ_incm_chng_self","1",153,"0.796875","कुल आय लगभग शुन्य (न्यून) भयो","Income was almost zero",9,"Impact"
"i_econ_incm_chng_self","2",4,"0.0208333","कुल आय एक-चौथाई (२५%)ले घट्यो","25% of last year",10,"Impact"
"i_econ_incm_chng_self","3",15,"0.078125","कुल आय आधि (५०%)ले घट्यो","50% of last year",11,"Impact"
"i_econ_incm_chng_self","4",17,"0.0885417","कुल आय तीन-चौथाई (७५%)ले घट्यो","75% of last year",12,"Impact"
"i_econ_incm_chng_self","5",2,"0.0104167","कुल आय लगभग उस्तै रह्यो","Same as last year",13,"Impact"
"i_econ_incm_chng_self","6",1,"0.0052083","कुल आय बढ्यो","Income grew",14,"Impact"
"i_empl_emplyr_in_tourism_change_post_covid","1",9,"0.2368421","पर्यो","Yes",15,"Impact"
"i_empl_emplyr_in_tourism_change_post_covid","2",29,"0.7631579","परेन","No",16,"Impact"
"i_empl_emplyr_in_tourism_change_post_covid_add","1",10,"0.6666667","पर्यो","Yes",17,"Impact"
"i_empl_emplyr_in_tourism_change_post_covid_add","2",5,"0.3333333","परेन","No",18,"Impact"
"i_empl_emplyr_in_tourism_prsnt_frml_agrmnt_status_add","1",4,"0.2666667","छ","Yes",19,"Impact"
"i_empl_emplyr_in_tourism_prsnt_frml_agrmnt_status_add","2",11,"0.7333333","छैन","No",20,"Impact"
"i_empl_in_tourism_paid_tax_post_covid_add","1",9,"0.6","पर्छ","Yes",21,"Impact"
"i_empl_in_tourism_paid_tax_post_covid_add","2",6,"0.4","पर्दैन","No",22,"Impact"
"i_empl_jb_prsnt_status","1",38,"0.1979167","छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु","Yes, fully engaged",23,"Impact"
"i_empl_jb_prsnt_status","2",15,"0.078125","छु, तर म पर्यटन लगायत अन्य क्षेत्रमा पनि काम गर्दै छु 
(हाल पर्यटन क्षेत्रको काम कुर्दै गरेका तर अन्य क्षेत्रको काम गर्दै गरेकालाई पनि)","Yes, partially engaged",24,"Impact"
