"variable","value","total","perc_of_total"
"b_empl_frml_agrmnt_status_pre_covid","1",20,"0.1960784"
"b_empl_frml_agrmnt_status_pre_covid","2",82,"0.8039216"
"b_empl_had_pan_pre_covid","1",83,"0.8137255"
"b_empl_had_pan_pre_covid","2",19,"0.1862745"
"b_empl_wrk_sesonal_period","1",10,"0.1123596"
"b_empl_wrk_sesonal_period","2",71,"0.7977528"
"b_empl_wrk_sesonal_period","3",8,"0.0898876"
"i_econ_incm_chng_self","1",88,"0.8627451"
"i_econ_incm_chng_self","2",2,"0.0196078"
"i_econ_incm_chng_self","3",5,"0.0490196"
"i_econ_incm_chng_self","4",6,"0.0588235"
"i_econ_incm_chng_self","5",1,"0.0098039"
"i_empl_emplyr_in_tourism_change_post_covid","1",5,"0.3333333"
"i_empl_emplyr_in_tourism_change_post_covid","2",10,"0.6666667"
"i_empl_emplyr_in_tourism_change_post_covid_add","1",5,"0.8333333"
"i_empl_emplyr_in_tourism_change_post_covid_add","2",1,"0.1666667"
"i_empl_emplyr_in_tourism_prsnt_frml_agrmnt_status_add","2",6,"1"
"i_empl_in_tourism_paid_tax_post_covid_add","1",3,"0.5"
"i_empl_in_tourism_paid_tax_post_covid_add","2",3,"0.5"
"i_empl_jb_prsnt_status","1",15,"0.1470588"
"i_empl_jb_prsnt_status","2",6,"0.0588235"
"i_empl_jb_prsnt_status","3",80,"0.7843137"
"i_empl_jb_prsnt_status","4",1,"0.0098039"
"i_empl_lst_date_full_salary","1",84,"0.8235294"
"i_empl_lst_date_full_salary","2",6,"0.0588235"
"i_empl_lst_date_full_salary","3",3,"0.0294118"
"i_empl_lst_date_full_salary","4",7,"0.0686275"
"i_empl_lst_date_full_salary","5",2,"0.0196078"
"i_hlth_covid_infectn_family","1",8,"0.0784314"
"i_hlth_covid_infectn_family","2",94,"0.9215686"
"i_hlth_covid_infectn_self","1",6,"0.0588235"
"i_hlth_covid_infectn_self","2",96,"0.9411765"
"i_hlth_covid_infectn_self_time","2",4,"0.6666667"
"i_hlth_covid_infectn_self_time","3",2,"0.3333333"
"i_lvlhd_domicile_chng_self","1",19,"0.1862745"
"i_lvlhd_domicile_chng_self","2",33,"0.3235294"
"i_lvlhd_domicile_chng_self","3",6,"0.0588235"
"i_lvlhd_domicile_chng_self","4",44,"0.4313725"
"i_lvlhd_domicile_chng_self_temp_tm_prd","1",2,"0.1052632"
"i_lvlhd_domicile_chng_self_temp_tm_prd","2",7,"0.3684211"
"i_lvlhd_domicile_chng_self_temp_tm_prd","3",10,"0.5263158"
"i_mental_hlth_blame","1",44,"0.4313725"
"i_mental_hlth_blame","2",58,"0.5686275"
"i_mental_hlth_detached","1",27,"0.2647059"
"i_mental_hlth_detached","2",75,"0.7352941"
"i_mental_hlth_fml","1",42,"0.4117647"
"i_mental_hlth_fml","2",60,"0.5882353"
"i_mental_hlth_neg_think","1",43,"0.4215686"
"i_mental_hlth_neg_think","2",59,"0.5784314"
"i_mental_hlth_overconcerned","1",56,"0.5490196"
"i_mental_hlth_overconcerned","2",46,"0.4509804"
"i_mental_hlth_social","1",18,"0.1764706"
"i_mental_hlth_social","2",84,"0.8235294"
"i_mental_hlth_therapy","1",82,"0.8039216"
"i_mental_hlth_therapy","2",20,"0.1960784"
"i_mental_hlth_think","1",32,"0.3137255"
"i_mental_hlth_think","2",70,"0.6862745"
"m_age","1",3,"0.0294118"
"m_age","2",84,"0.8235294"
"m_age","3",15,"0.1470588"
